x,y,z
8.031810769607172062e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.996837182873269967e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.949765023856537027e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.899993308468769726e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.850000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.800000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.750000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.700000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.650000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.600000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.550000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.500000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.450000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.400000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.350000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.300000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.250000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.200000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.150000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.100000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.050000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.950000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.900000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.850000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.800000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.750000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.700000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.650000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.600000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.550000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.500000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.450000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.400000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.350000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.300000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.250000000000000711e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.200000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.150000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.100000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.050000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
6.000000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.950000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.900000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.850000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.800000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.750000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.700000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.650000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.600000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.550000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.500000000000000711e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.450000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.400000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.350000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.300000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.250000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.200000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.150000000000000711e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.100000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.050000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
5.000000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.950000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.900000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.850000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.800000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.750000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.700000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.650000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.600000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.550000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.500000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.450000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.400000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.350000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.300000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.250000000000000711e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.200000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.150000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.100000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.050000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
4.000000000000000000e+01,0.000000000000000000e+00,1.550000000000000000e+02
