x,y,z
7.000000000000000000e+01,0.000000000000000000e+00,1.948181076960717064e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.944683718287327281e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.939976502385653703e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.934999330846877115e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.930000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.925000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.920000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.915000000000000284e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.910000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.905000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.895000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.890000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.885000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.880000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.875000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.870000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.865000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.860000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.855000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.850000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.845000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.840000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.835000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.830000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.825000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.820000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.815000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.810000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.805000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.795000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.790000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.785000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.780000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.775000000000000000e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.770000000000000284e+02
